PID,CG Number,Gene Name,FBgn Number,GO Biofunction
1634765_at,CG14739,CG14739,FBgn0037987,0016567 // protein ubiquitination // inferred from electronic annotation /// 0043687 // post-translational protein modification // inferred from electronic annotation /// 0051246 // regulation of protein metabolic process // inferred from electronic annotation
1634766_at,CG6127,Ser,FBgn0004197,"0007154 // cell communication // inferred from electronic annotation /// 0007219 // Notch signaling pathway // inferred from mutant phenotype /// 0007219 // Notch signaling pathway // non-traceable author statement /// 0007219 // Notch signaling pathway // inferred from electronic annotation /// 0007275 // multicellular organismal development // inferred from electronic annotation /// 0007423 // sensory organ development // inferred from mutant phenotype /// 0007431 // salivary gland development // non-traceable author statement /// 0007435 // salivary gland morphogenesis // inferred from mutant phenotype /// 0007435 // salivary gland morphogenesis // non-traceable author statement /// 0007436 // larval salivary gland morphogenesis // inferred from mutant phenotype /// 0007451 // dorsal/ventral lineage restriction, imaginal disc // traceable author statement /// 0007476 // imaginal disc-derived wing morphogenesis // inferred from mutant phenotype /// 0030154 // cell differentiation // inferred from electronic annotation /// 0030718 // germ-line stem cell maintenance // inferred from genetic interaction /// 0035017 // cuticle pattern formation // inferred from mutant phenotype /// 0035111 // leg joint morphogenesis // inferred from mutant phenotype /// 0035167 // larval lymph gland hemopoiesis // inferred from expression pattern /// 0035170 // lymph gland crystal cell differentiation // traceable author statement /// 0035214 // eye-antennal disc development // inferred from mutant phenotype /// 0035286 // leg segmentation // inferred from mutant phenotype /// 0042688 // crystal cell differentiation // inferred from mutant phenotype /// 0042688 // crystal cell differentiation // traceable author statement /// 0042689 // regulation of crystal cell differentiation // traceable author statement /// 0045746 // negative regulation of Notch signaling pathway // inferred from direct assay /// 0046331 // lateral inhibition // inferred from mutant phenotype /// 0048749 // compound eye development // inferred from mutant phenotype /// 0048749 // compound eye development // traceable author statement"
1634767_at,CG6126,CG6126,FBgn0038407,0006810 // transport // inferred from electronic annotation
1634768_at,CG12009,CG12009,FBgn0035430,0006030 // chitin metabolic process // inferred from electronic annotation
1634769_at,CG6888,CG6888,FBgn0036490,0045454 // cell redox homeostasis // inferred from electronic annotation
1634770_at,CG32377,CG32377,FBgn0052377,0006508 // proteolysis // inferred from electronic annotation
1634771_a_at,CG8184,CG8184,FBgn0030674,0006464 // protein modification process // inferred from electronic annotation /// 0006511 // ubiquitin-dependent protein catabolic process // inferred from electronic annotation
1634772_at,CG1288,DbuzCG1288,FBgn0037484,---
1634773_at,CG5474,SsRbeta,FBgn0011016,0006621 // protein retention in ER lumen // inferred from sequence or structural similarity
1634774_at,HDC03209,---,---,---
1634775_at,CG33235,CG33235,FBgn0030307,---
1634776_at,CG7509,CG7509,FBgn0035575,---
1634777_at,CG13297,CG13297,FBgn0035685,---
1634778_at,CG3092,CG3092,FBgn0034835,---
1634779_at,CG40080,Haspin,FBgn0046706,0006468 // protein amino acid phosphorylation // inferred from electronic annotation /// 0006468 // protein amino acid phosphorylation // non-traceable author statement /// 0006468 // protein amino acid phosphorylation // inferred from sequence or structural similarity /// 0007243 // protein kinase cascade // inferred from sequence or structural similarity
1634780_at,CG7579,CG7579,FBgn0036528,0009312 // oligosaccharide biosynthetic process // inferred from sequence or structural similarity
1634781_at,HDC19543,---,---,---
1634782_s_at,CG8977,Cctgamma,FBgn0015019,0006457 // protein folding // inferred from sequence or structural similarity /// 0006457 // protein folding // non-traceable author statement /// 0006457 // protein folding // inferred from electronic annotation /// 0007052 // mitotic spindle organization // inferred from mutant phenotype /// 0044267 // cellular protein metabolic process // inferred from electronic annotation
1634783_s_at,CG11455,CG11455,FBgn0031228,"0000398 // nuclear mRNA splicing, via spliceosome // inferred from sequence similarity /// 0006120 // mitochondrial electron transport, NADH to ubiquinone // inferred from sequence or structural similarity /// 0055114 // oxidation reduction // inferred from electronic annotation"
1634784_at,CG14513,yemalpha,FBgn0005596,0048477 // oogenesis // non-traceable author statement
1634785_at,S.C3R000280,---,---,---
1634786_at,CG7106,lectin-28C,FBgn0040099,0007165 // signal transduction // inferred from electronic annotation /// 0007186 // G-protein coupled receptor protein signaling pathway // inferred from electronic annotation /// 0007601 // visual perception // inferred from electronic annotation /// 0007602 // phototransduction // inferred from electronic annotation /// 0007602 // phototransduction // inferred from mutant phenotype /// 0007602 // phototransduction // non-traceable author statement /// 0008344 // adult locomotory behavior // inferred from mutant phenotype /// 0008594 // photoreceptor cell morphogenesis // inferred from mutant phenotype /// 0009642 // response to light intensity // inferred from mutant phenotype /// 0018298 // protein-chromophore linkage // inferred from electronic annotation /// 0042052 // rhabdomere development // inferred from mutant phenotype /// 0046673 // negative regulation of compound eye retinal cell programmed cell death // inferred from mutant phenotype /// 0050896 // response to stimulus // inferred from electronic annotation
1634787_at,CG32638,CG32638,FBgn0052638,---
1634788_at,CG4872,CG4872,FBgn0030799,0008152 // metabolic process // inferred from electronic annotation
1634789_at,CG30151,CG30151,FBgn0050151,---
1634790_at,HDC14581,---,---,---
1634791_at,HDC20377,---,---,---
1634792_s_at,CG17838,CG17838,FBgn0038826,---
1634793_at,HDC12293,---,---,---
1634794_at,CG10924,CG10924,FBgn0034356,0006094 // gluconeogenesis // inferred from sequence or structural similarity /// 0006094 // gluconeogenesis // inferred from electronic annotation /// 0006810 // transport // inferred from electronic annotation
1634795_a_at,CG1519,Prosalpha7,FBgn0023175,0006511 // ubiquitin-dependent protein catabolic process // inferred from electronic annotation
1634796_at,CG17219,CG17219,FBgn0031494,---
1634797_s_at,S.C3R000653,---,---,0006508 // proteolysis // inferred from electronic annotation
1634798_at,CG11606,Rpp30,FBgn0022246,0008033 // tRNA processing // inferred from electronic annotation /// 0008033 // tRNA processing // inferred from sequence or structural similarity
1634799_at,CG4110,ppk16,FBgn0065108,0006810 // transport // inferred from electronic annotation /// 0006811 // ion transport // inferred from electronic annotation /// 0006814 // sodium ion transport // inferred from electronic annotation
1634800_at,CG17853,Or43b,FBgn0026393,0007165 // signal transduction // inferred from electronic annotation /// 0007186 // G-protein coupled receptor protein signaling pathway // inferred from electronic annotation /// 0007186 // G-protein coupled receptor protein signaling pathway // non-traceable author statement /// 0007608 // sensory perception of smell // inferred from electronic annotation /// 0007608 // sensory perception of smell // non-traceable author statement /// 0007608 // sensory perception of smell // traceable author statement /// 0050896 // response to stimulus // inferred from electronic annotation
1634801_at,CG30184,CG30184,FBgn0050184,0005975 // carbohydrate metabolic process // inferred from electronic annotation /// 0006644 // phospholipid metabolic process // inferred from electronic annotation /// 0016042 // lipid catabolic process // inferred from electronic annotation
1634802_at,CG40188,CG40188,FBgn0058188,---
1634803_at,CG34006,CG34006,FBgn0054006,---
1634804_at,CG15819,CG15819,FBgn0031919,---
1634805_at,CG14642,CG14642,FBgn0037222,0006508 // proteolysis // inferred from electronic annotation /// 0006508 // proteolysis // non-traceable author statement
1634806_at,Dm.2L.8912.0,nimB3,FBgn0054003,---
1634807_at,HDC16436,---,---,---
1634808_at,CG2826,lectin-21Ca,FBgn0040107,---
1634809_s_at,CG30194,CG30194,FBgn0050194,0008152 // metabolic process // inferred from electronic annotation /// 0015909 // long-chain fatty acid transport // inferred from sequence or structural similarity
1634810_at,HDC02249,---,---,---
1634811_at,CG33060,CG33060,FBgn0053060,---
1634812_at,CG42450,CG42450,FBgn0030962,0007186 // G-protein coupled receptor protein signaling pathway // inferred from electronic annotation /// 0007242 // intracellular signaling cascade // inferred from electronic annotation
1634813_at,CG12641,CG12641,FBgn0030193,---
1634814_at,CG7083,CG7083,FBgn0035877,---
1634815_at,CG31104,CG31104,FBgn0051104,---
1634816_at,CG8401,CG8401,FBgn0034069,---
1634817_at,CG3029,or,FBgn0003008,0006726 // eye pigment biosynthetic process // traceable author statement /// 0006727 // ommochrome biosynthetic process // inferred from mutant phenotype /// 0006810 // transport // inferred from electronic annotation /// 0006886 // intracellular protein transport // inferred from electronic annotation /// 0006901 // vesicle coating // traceable author statement /// 0007040 // lysosome organization // inferred from sequence or structural similarity /// 0007269 // neurotransmitter secretion // non-traceable author statement /// 0015031 // protein transport // inferred from electronic annotation /// 0016183 // synaptic vesicle coating // traceable author statement /// 0016192 // vesicle-mediated transport // inferred from electronic annotation /// 0046907 // intracellular transport // traceable author statement /// 0048072 // compound eye pigmentation // inferred from mutant phenotype
